Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
"O Sabor da Arquitetura : a
influência da arquitetura no
comportamento humano,
em ambientes de bares e
restaurantes.",2003,"Abreu, Cristianne Assis de.","Esteves, Milton Júnior",,Estudo e análise arquitetônica em bares e restaurantes ,História e Teoria da Arquitetura e Urbanismo,Análise/arquitetura/restaurante,n/d
"O vago e o específico das
exposições",2001,"Abreu, Isabel Frota de","Frizzera, Kleber Perini","Miranda, Clara
Luiza",Desenvolvimento de modelo metodológico flexível para auxiliar elaboração de projetos de mostras de arte e exposições ,História e Teoria da Arquitetura e Urbanismo,Análise/metodologia de projeto/exposição/arte,n/d
"Corpo inverso: outros
movimentos possíves!",2007,"Abreu, Joyce Naara
Pimenta","Almeida, Renata
Hermanny de",,Investigação acerca da problemática do corpo físico frente aos impactos do universo tecnológico informacional no modo de representação e apreensão do mundo ,História e Teoria da Arquitetura e Urbanismo,Ensaio/corpo/ tecnologia,n/d
"Chip: centro de integração
popular uma proposta
arquitetônica para a
Enseada do Suá",2015,"Accarino, Lorenzo de
Souza.","Rocha, Bruno
Massara","Penteado, Homero",Projeto de edificação sócio esportivo cultural na enseada do Suá ,Projeto de arquitetura,Projeto/centro de (núcleo de)/sócio esportivo cultural,Enseada do Suá
"Arquitetas do Movimento
Moderno Brasileiro (1939-
1975): projetos publicados
nas revistas Acrópole e
Módulo.",2016,"Adame, Telmi","Ribeiro,
Nelson Pôrto.",,Levantamento dos projetos publicados nas revistas do título feito por mulheres,História e Teoria da Arquitetura e Urbanismo,Análise/ levantamento/feminismo/modernismo,n/d
"Publicidade e paisagem
urbana : no olho da rua",2003,"Adami, Luciana do Rosário.","Mendonça, Eneida Maria
Souza",,Análise e levantamento da publicidade na paisagem urbana (levantamento em um percurso-principais avenidas de vix). Traça diretrizes para o planejamento da publicidade na paisagem urbana de vix. Tem fotos antes e depois mostrando como ficaria ,Projeto de urbanismo,Análise/ levantamento/metodologia de projeto/paisagem/ urbano ,Vitória
"Arquitetando a água:
proposta de um núcleo de
saneamento ecológico",2008,"Aguiar, Karolyna Costa","Alvarez, Cristina Engel de",,Projeto de núcleo de saneamento ecológico na UFES ,Projeto de arquitetura,Projeto/centro de (núcleo de)/sócio esportivo cultural,UFES Goiabeiras
"Reabilitação tecnológica:
estudos para a
remodelação do hotel
estoril.",2001,"Aguirre, Luciana Santos","Marroquim, Ione","Romanelli,
Marco Antônio","Remodelação (requalificação) do hotel Estoril, no centro ",Técnicas Retrospectivas,Requalificação/patrimônio/hotel Estoril,Centro de Vitória
"Biblioteca pública:
conhecimento, cultura e
lazer",2007,"Albani, Vivian","Ribeiro,
Rogério Almenara",,Projeto acessível de biblioteca pública na ilha de Santa Maria ,Projeto de arquitetura,Projeto/Biblioteca/acessibilidade,Ilha de Santa Maria
"Centro de reabilitação para
dependentes químicos :
espaço e forma:
Humanização",2005,"Albuquerque, Letícia Dalvi
de.","Penteado, Homero",,Projeto de centro de realibilitação em jacaraipe,Projeto de arquitetura,Projeto/centro de (núcleo de)/reabilitação,Jacaraípe
"Morar na UFES : projeto de
moradia estudantil para
alunos do centro de artes
da UFES.",2004,"Alcure, Bianca Lourenço",,,"projeto de
moradia estudantil para
alunos do centro de artes
da UFES.",Projeto de arquitetura,Projeto/moradia estudantil,UFES Goiabeiras
"Proposta de intervenção
para a Ilha das Caieiras.",2009,"Alencastre, Ronielli Costa","Mendonça, Eneida Maria S.","Campos,
Martha",Projeto e diretrizes para a ilha das caieras,Projeto de urbanismo,Projeto/ urbanismo,Ilha das Caieiras
"Santa Teresa um bom
lugar para viver ... e
conhecer : intervenção
urbana na cidade",2007,"Aliprandi, Danielly Cozer","Mendonça, Eneida Maria de
Souza","Penteado, Homero",Projeto de intervenção em santa teresa ES,Projeto de urbanismo,Projeto/ intervenção/ urbanismo,Santa Teresa
"Centro de apoio a
dependentes quimicos da
Igreja Batista em Jardim
Camburi.",2004,"Alkmin, Glaiser.","Vargas,
Paulo.",,Projeto de centro de apoio de dependentes quimicos da igreja batista de camburi,Projeto de arquitetura,Projeto/ centro de  (núcleo de)/ reabilitação/ igreja/ batista,Jardim Camburi
"Pela imagem dos morros de
Vitória: ensaio sobre a
pedra de gamela.",2003,"Almeida, Andréa Abreu de","Mendonça, Eneida Maria
Souza","Buffon,
Ana Cláudia",Tenta compreender a relação da cidade com a pedra da gamela,História e Teoria da Arquitetura e Urbanismo,Ensaio/ paisagem/ urbano,Pedra da Gamela
"Arquitetura divina : a nova
catedral de Vitória",2005,"Almeida, Leandro Ribeiro","Ribeiro, Rogério Almenara.","Ribeiro,
Nelson Porto",Projeto de uma nova catedral para vitória no bairro de ilha de santa maria,Projeto de arquitetura,Projeto/ Igreja/ catedral,Ilha de Santa Maria
"Espaço público para que
público? Redescobrindo o
mercado: uma intervenção
no mercado da Vila Rubim",2008,"Almeida, Luciana Camargos
de","Penteado, Homero
Marconi","Vargas, Paulo Sérgio de
Paula",uma intervenção no mercado da Vila Rubim,Técnicas retrospectivas,Intervenção/ Mercado/ Vila Rubim,Vila Rubim
[ (e-) espaço ] : mob. trans.,2007,"Almeida, Lutero Proschöldt","Almeida, Renata
Hermanny de",,Análise/ tecnologia/ urbano/ mobiliário urbano,História e Teoria da Arquitetura e Urbanismo,Análise/ tecnologia/ urbano,n/d
"Espaço, Tempo,
Movimento.",2004,"Almeida, Marcela Alves de","Esteves Junior, Milton",,Analise de obras fenomenologicas em especial o museu guggenheim Virtual,História e Teoria da Arquitetura e Urbanismo,Análise/ fenomenologia,n/d
"Criando espaço : deixando
espaço.",2005,"Almeida, Myriam Jantorno
de Paiva.","Penteado,
Homero.",,Projeto de praça na praça do papa,projeto de paisagismo,Projeto/ praça,Enseada do Suá (praça do papa)
"Paisagem vertical: edifício
de uso misto no bairro Praia
do Canto, Vitória",2014,"Almeida, Sara Araújo","Penteado, Homero Marconi","Alvarenga,
Augusto",Edificio vertical uso misto na praia do canto 20 pavimentos e preza pelo verde,Projeto de arquitetura,Projeto/ edifício/ sustentabilidade,Praia do Canto
"Costura cultural:
experimentos a baía.",2018,"Almeida, Sebastyan Ygor
Alves de Oliveira","Martino,
Jarryer Andrade de",,Projeto de centro cultural e complexo residencial em containers nos armazens do porto do centro de vitória,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura/ Porto/ container,Centro de Vitória
"Infraestrutura verde: um
estudo de sua viabilidade
para o bairro Resistência
em Vitória",2010,"Alvarenga, Ana Paula
Duarte","Caser, Karla do
Carmo","Cruz,
Patrícia Stelzer da",Elaboração de projeto de uma infraestrutura verde no bairro de são sebastião,Projeto de Paisagismo ,Projeto/ Infraestrutura verde,Resistência
Arquitetura industrial,2001,"Alvarenga, André Luis
Severino.","Vargas, Paulo
de Paula",,Projeto de um galpão industrial no CIVIT II ,Projeto de arquitetura,Projeto/ industrial,CIVIT II
Teatro Vila Velha,2010,"Alves, Alexandre Bessa
Martins","Ribeiro, Rogério
Almenara","Gomes, Colette Dulce
Dantas",Projeto de teatro em itapuã vila velha,Projeto de arquitetura,Projeto/ teatro,Itapuã
"Arquitetura de cabeça para
baixo",2004,"Alves, André Victor de
Mendonça.v","Frizzera,
Kleber Perini.",,Ensaio sobre a arquitetura,História e Teoria da Arquitetura e Urbanismo,Ensaio/ arquitetura,n/d
"Interação entre o usuário e
o espaço arquitetônico :
avaliação qualitativa em
padarias e confeitaria",2004,"Alves, Fernanda Bermudes","Frizzera, Kleber",,Pesquisa sobre as intereações entre os usuarios e o espaço arquitetonico por meio de um estudo conceitual atraves de uma abordade fenomenologica de padarias e confeitarias ,História e Teoria da Arquitetura e Urbanismo,Levantamento/ fenomenologia/ padaria,n/d
"Revelações topográficas : a
influência da topografia no
projeto arquitetônico.projeto
Morro da Gamela.",2009,"Alves, Fernando dos
Santos","Almeida, Renata
Hermanny de",,"analise do entendimento dos arquitetos sobre a topografia e ensaios projetuais nas regiões dos bairros de santa lúcia, praia do canto, praia do suá, praia de santa helena, bento ferreira, jucutuquara e horto ",Topografia,Ensaio projetual/ topografia,Santa Lúcia (morro da Gamela)
"[espaço-entre] arquitetura e
arte",2009,"Alves, Giovana Cruz","Campos, Martha Machado",,"Análise acerca dos espaços transitórios em amostras de arte, bem como sobre intersecções entre arte e arquitetura",História e Teoria da Arquitetura e Urbanismo,Análise/ arte/ cenografia,n/d
"Centro de Memória e
História : intervenção em
área central - Vitória /
ES.",2015,"Alves, Julliana Chan","Almeida,Renata Hermanny
de",,Projeto de intervenção e restauro na capela de santa luzia ,Técnicas retrospectivas,Projeto/ restauro/ intervenção/ igreja/ Patrimônio,Centro de Vitória
"A participação popular na
produção do seu habitat.",2000,"Amorim, Alexandre
Cypreste",,,Análise e intervenções pontuais em inhangueta Vitória ,Projeto de arquitetura,Projeto/ Assistência técnica/ intervenções pontuais/ residência,Inhanguetá
"Maria Ortiz bairro bom :
proposta de qualificação do
espaço público.",2010,"Amorim, Filipe Miranda de","Ribeiro, Rogério Almenara","Romanelli,
Marco Antônio Cypreste",Intervenção e propostas em Maria Ortiz ,Projeto de urbanismo,Intervenção/ urbanismo,Maria Ortiz
"Interface Urbanística entre
o Sítio Aeroportuário e a
Cidade : aeroporto Eurico
de Aguiar Sallles e a cidade
de Vitória",2010,"Amorim, Zandya Bassani","Abe, André Tomoyuki",,Projeto urbano para integraçao do aeroporto de vitoria com a cidade,Projeto de urbanismo,Projeto/ urbanismo/ aeroporto,Aeroporto
"Cenários de intervenção na
Barra do Jucu, Vila
Velha/ES.",2018,"Rigo, Anna Biccas","Almeira
, Renata Hermanny de",,"Analise do território como valor patrimonial. Representação do território em modelagem QGIZ e cenário de intervenção barra do jucu, vila velha ES",projeto de urbanismo ,Intervenção/ patrimônio territorial ,Barra do Jucu
"Simbolismo no espaço
sagrado : estudo de caso
no Estado do Espírito Santo",2014,"Andrade, Ana Carolina
Rodrigues","Patek, Maria
Madalena dos Santos",,Estudo do simbolismo das igrejas comm foco nas igrejas do espírito santo,História e Teoria da Arquitetura e Urbanismo,Análise/ igreja/ simbolismo ,n/d
"Uma rota patrimonial para o
baixo Rio Santa Maria da
Vitória [ES] : instrumento de
cnservação,valorização,req
ualificação e/ou
transformação do
patrimônio territorial",2012,"Andrade, Bruno Amaral de","Almeida, Renata Hermany",,"Uma rota patrimonial para o
baixo Rio Santa Maria da
Vitória [ES] : instrumento de
conservação,valorização,requalificação e/ou
transformação do
patrimônio territorial",projeto de urbanismo ,Requalificação/ patrimônio territorial/ rota turística,Santa Leopoldina
"Centro de cultura e vida
urbana.",2017,"Andrade, Luiza Pavan","Caser, Karla do Carmo",,Projeto de centro cultural no centro de Vitória ,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura/ Centro ,Centro de Vitória
"Arquitetura da vida:
Maternidade e centro de
Reprodução humana.",2001,"Angeli, Ginateli de","Marroquim, Ione Mota",,Maternidade em Bento Ferreira ,Projeto de arquitetura,Projeto/ maternidade,Bento Ferreira
"Baía de Vila Velha: Vila
Velha de frente para a Baía
de Vitória",2007,"Araujo, Daniel Francisco de","Araújo, Daniel Francisco
de",,Projeto urbano na baia de Vitória em vila velha ,Projeto de urbanismo,Projeto/ urbano/ baía,baía de vitória
"Arquitetura por um fio :
investigações sobre moda e
arquitetura",2012,"Araujo, João Gabriel Farias
Barbosa","Miranda, Clara
Luiza,",,Investigação teórica sobre moda e arquitetura,História e Teoria da Arquitetura e Urbanismo,Investigação/ moda,n/d
Um novo cemuni III: uma nova proposta para uma velha fórmula ,2014,"Araújo, Maria Fabiana Brito ","Simões, Roberto Garcia ",,Novo projeto de reforma e ampliação do cemuni iii,Técnicas retrospectivas,Projeto/ arquitetura/ Cemuni III,UFES Goiabeiras
"Uma heterotopia
emancipadora: os degraus
da participação do usuário
na arquitetura",2015,"Arruda, Flávia Marcarine","Miranda , Clara Luiza","Esteves, milton
Júnior",Ensaio sobre os processos participativos  na arquitetura. Ela pesquisa primeiro depois propõe em uma heterotopia em vitoria ,História e Teoria da Arquitetura e Urbanismo,Ensaio projetual/ heteroropia,Vitória
Fragmentos,2003,"Assad, Ellen Motta","Frizzera, Kleber",,Ensaio filosófico e projetiva sobre a condição da cidade contemporânea (anda pela cidadereflete e desenha ,História e Teoria da Arquitetura e Urbanismo,Ensaio/ urbano,Vitória
Anarquitetura,2007,"Assis, Leandro Camatta de","Miranda, Clara Luiza",,"Análise urbana com intervenções pontuais no cotidiano da vida urbana, como melhorar o carrinho dos captadores ",Projeto de urbanismo,Intervenções pontuais/ mobiliário/ urbano ,Vitória
"Habitação e espaços livres
na cidade incrementada.",2018,"Auer, Wanderly","Almeida,
Lutero Prostcholdt",,Intervenções e estratégias com projetos pontuais para o morro de jaburu ,Projeto de urbanismo,análise/ paisagem/ intervenções pontuais/ ferrovia,Gurigica (Jaburu)
Eco hotel,2003,"Avanza, Caroline Cremasco
Daros","alvarenga, Augusto",,Projeto de um hotel ecológico em Serra sede ,Projeto de arquitetura,Projeto/ hotel/ ecológico,Serra sede
"O acesso à moradia digna :
a arquitetura e a engenharia
em favor do social na
atuação pública.",2004,"Avendanha, Grazielly
Prado","Abe, André
Tomoyuki.",,Estudo teórico e diretrizes para um programa de assistência técnica de baixa renda ,História e Teoria da Arquitetura e Urbanismo,Diretrizes/ Assistência técnica,n/d
"Santo Antônio e sua linha
mestra : a avenida Santo
Antônio no tempo e no
espaço",2012,"Azevedo,Stephanie Ribeiro",,,,,,
"Estruturas pré-fabricadas
de concreto.",2000,"Bada, Elane Margon","Abe,
André Tomoyuki",,Estudo de pré fabricado de concreto com ensaio projetual em escola em execução em nova Almeida ,tecnologia das construções,estrutura/ pré fabricado/ concreto/ escola ,Nova Almeida
"Arquitetura em cena: Um
teatro na Ilha de Santa
Maria",2000,"Badauy, Gisele Macabu","Andrade, Taracísio Bahia
de","Romanelli,
Marco Antonio",Projeto de teatro em Ilha de Santa Maria ,Projeto de arquitetura,Projeto/ Teatro,Ilha de Santa Maria
"Centro Cultural na Praça do
Papa",2017,"Balarini, Carlos Rafael
Varnier","Romanelli, Marco
Antônio Cypreste","Frizzera,
Kleber Perini",Centro cultural na Praça do papa,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura,Enseada do Suá (praça do papa)
Centro musical Maurício de Oliveira. Da música para a arquitetura ,2009,"Baldi, moacyr Neto ","Rodrigues, Edna nico ",,Projeto de centro musical em Bento Ferreira ,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura/ música ,Bento Ferreira
"O rio e a cidade : uma nova
apropriação.",2017,"Baldotto, Maida Passamai","Bonatto, Daniela do Amaral
Mello","Pentado, Homero Marconi",Intervenção as margens do rio Santa Joana em itarana. ,Projeto de urbanismo,Requalificação/ rio/ orla,Itarana
"Arquitetura bioclimática no
meio comercial.",2018,"Barbieri, Indiara Maria
Vieira","Laranja, Andréa
Coelho",,Projetar uma edificação comercial que atenda conceitos do bioclimatismoem jardim da penha. Salas 4 andares ,Projeto de arquitetura,Projeto/ Bioclimático/ sustentabilidade,Jardim da Penha
"História da crítica de
arquitetura : do
pensamento sistemático às
metodologias artísticas e
operativas.",2006,"Barbosa, Mariana Biancucci
Apolinário","Miranda, Clara
Luiza.",,Revisão bibliográfica de estilo e história da arquitetura ,História e Teoria da Arquitetura e Urbanismo,Teoria/ História/ Arquitetura,n/d
"Abrindo caminhos :
operação urbana Canal da
Passagem",2006,"Barbosa, Mirela Faller","Alvarenga, Augusto.","Penteado,
Homero Marconi",Projeto urbano para o canal da passagem ,Projeto de urbanismo,Projeto/ Requalificação/ canal de camburi/ orla,canal da passagem
"Parque tecnológico de
Vitória",2008,"Barbosa, Vitor Vargas","Almenara,
Rogério",,Projeto de parque tecnológico. No parque tecnológico. Sustentável ,Projeto de arquitetura,Projeto/ Parque Tecnológico,Vitória
"Espaços flexíveis no habitar
contemporâneo",2008,"Barboza, Aline Gaspar
Schueller","Miranda, Clara
Luiza",,Levantamento qualitativo de apartamentos flexíveis em vila velha ,História e Teoria da Arquitetura e Urbanismo,Levantamento/ apartamentos flexíveis ,Vila Velha
"Um novo olhar : projeto de
intervenção no Hospital
Adauto Botelho respostas
da arquitetura para
questões da psicologia e
antropologia.",2005,"Barboza, Sérgio Miguel
Prucoli","Barbosa, Eduardo",,Projetos de intervenção no adauto Botelho. Arquitetura  para locais de internato psicológico  ,Projeto de arquitetura,Intervenção/ Internato psicológico ,Tucum (Adalto Botelho)
"Turismo na revitalização de
Centros Históricos : o caso
de Vitória",2012,"Barcellos, Letícia","Almeida,
Renata Hermanny de",,Analisa o turismo na revitalização de centro históricos e lança diretrizes para o centro de Vitória ,História e Teoria da Arquitetura e Urbanismo,Análise/ revitalização/ turismo/ Centro,Centro de Vitória
"Paisagem e Cultura: uma
leitura simbólica da Vitória
do século XIX.",2017,"Barcelos, Beatriz Mourão.","Ribeiro, Nelson Pôrto.",,,,,
"O planejamento
habitacional como forma de
""requalificação"" de áreas
centrais : o caso de Vitória",2010,"Bartocci, Oberdam","Campos, Martha","Miranda, Clara","Criar habitação de interesse social em edifícios sub utilizados do centro, um tombado e outro não ",Técnicas retrospectivas,Projeto/ Habitação/ interesse social/ requalificação/ urbano ,Centro de Vitória
"Prainha : Recuperação do
contato mar-terra /
Fernanda Pereira Bastos.",2006,"Bastos, Fernanda Pereira.","Esteves, Milton","Almenara,
Rogério.","uma arquitetura que ligue terra e mar no parque da prainha. Terminal hidro viário, teleférico restaurantes e parte cultural ",Projeto de arquitetura,Projeto/ terminal hidroviário/ centro de (núcleo de)/ cultura ,Prainha
Integrando com a ponta da fruta ,2004,"Bastos, Patrícia covre","Andrade, Tarcísio Bahia de",,Intervenção urbana na orla de ponta da fruta ,projeto de urbanismo,Requalificação/ mar/ orla,Ponta da Fruta
"Refletir... : Vila Velha dos
meus sonhos.",2005,"Batista, João César de
Melo.","Alvarez, Cristina
Engel.",,Projetos pontuais para vila velha. Meio urbano e conceitual,Projeto de urbanismo,Ensaio Projetual/ urbanismo,Vila Velha
"Carnaval : [ a arquitetura na
cadência bonita do samba]",2012,"Batista, Thaís de Sá","Miranda, Clara Luiza",,Análise e diário de viagens da preparação e desfile das escolas de samba do Rio de Janeiro pelo ponto de vista arquitetônico ,História e Teoria da Arquitetura e Urbanismo,Análise/ carnaval/ samba,Rio de Janeiro
"Arquitetura escolar infantil:
estratégia de conforto
ambienta",2018,"Batitucci, Isabela Pimentel","Laranja,Andréa Coelho",,Projeto de arquitetura escolar infantil com foco nos calcula de conforto em JC,Conforto Ambiental,Projeto/ escola/ conforto,Jardim Camburi
"Reestruturação paisagística
e urbana da área central de
Regência",2008,"Belga, Daniel Zanine","Penteado, Homero","Abe, André
Tomoyuki",Praças em regência ,Projeto de paisagismo ,Reestruturação/ praça,Regência
"Espaço da percepção : um
ensaio topológico
percepetivo",2007,"Belique, Adriana Biachi","Miranda, Clara Luiza.",,Museu na ilha da fumaça com foco em fenomenologia (sem usar essa palavra) ,projeto de arquitetura,Projeto/ Museu/ fenomenologia,Monte belo (Ilha da fumaça)
"Modelo de supermercado
acessível",2014,"Belique, Bruna Coutinho","Frizzera, Kleber Perini","Romanelli,
Marco Antônio C.",Supermercado acessível em JC,Projeto de arquitetura,Projeto/ acessibilidade/ supermercado,Jardim Camburi
"Arquitetura fílmica : o
arquiteto e a arte de fazer
cinema",2010,"Ben, Hudson Dal","Rocha,
Bruno Massara","Campos, Martha Machado",,,,
"Centro histórico e paisagem
cultural : Prainha - Vila
Velha, ES.",2013,"Bergantini, Evellyn Paneto",,,Projeto de parque da prainha ,Projeto de paisagismo,Projeto/ parque,Prainha
"A verticalização à luz da
sustentabilidade",2008,"Bernabé, Ana Carolina
Alves","Alvarez, Cristina
Engel de",,"diretriz para a construção sustentável em prédios verticais, com edifício de uso misto na enseada ",tecnologia das construções,metodologia de projeto/ Sustentabilidade/ edifício,Enseada do Suá
"Técnicas de arquitetura
verde : projeto de
revitalização paisagística
em edifício comercial.",2017,"Bernardes, João Victor
Rabbi","Zaganelli, Maria
Deborah Martins",,Projeto de requalificação paisagística no edifício trade center no centro de Vitória ,Técnicas retrospectivas,Revitalização/ edifício/ Centro,Centro de Vitória
"Ouvir do urbano: uma
reflexão sobre paisagem
sua relação com a vida
humana.",2002,"Bernardi, Larissa Pacheco","Alvarez, Cristina Engel",,Análise dos sons no mundo urbano com ensaio projetual de museu do som no morro da gamela ,Projeto de arquitetura,Análise/ música/ museu,Santa Lúcia (morro da Gamela)
"Habitação de interesse
social à luz da
sustentabilidade./",2015,"Bernardo, Macelo de
Almeida","Laranja, Andréa
Coelho",,Projeto de habitação de interesse social sustentável em Viana. Campo Verde ,Projeto de arquitetura,Projeto/ habitação/ interesse social/ sustentabilidade,Campo Verde
"Jesus de Nazareth : de
dentro pra fora, de fora pra
dentro.",2006,"Bettarello, Mariana
Carminati","Esteves Junior,
Milton",,Projeto urbano com coisas arquitetônicas para Jesus de Nazareth ,Projeto de urbanismo,Projeto/ intervenções pontuais/ urbanismo,Jesus de Nazareth
"Poesia urbana: linguagem
de pedras em palavras
poéticas",2008,"Bettcher, Roberta
Casteglione","Miranda,
Clara Luiza",,"Análise das cidades descritas por filósofos bachelard, water beinjamin, Dostoievski e João Cabral de Melo, finalizando em uma análise de Paris ",História e Teoria da Arquitetura e Urbanismo,Ensaio/ filosofia/ urbano ,Paris
"Arquitetura para Idosos:
projeto de uma instituição
de longa permanência",2016,"Bezerra, Mariah Oliveira","Laranja, Andréa Coelho",,Instituição de longa permanência para idosos em mata da praia ,Projeto de arquitetura,Projeto/ lar de idosos ,Mata da Praia
"Templu's: Casa de
espetáculos, exposições,
cinema e restaurante.",2002,"Biajoli, Micheline Laurent","Vargas, Paulo de Paula",,Projeto de casa de shows com cinema e restaurante no atual shopping Vila Velha ,Projeto de arquitetura,Projeto/ casa de espetáculos e exposições,Boa Vista II
"Município de Aracruz :
estudo da região e
elaboração de diretrizes
para o desenvolvimento
sustável associado ao
turismo",2007,"Biasutti, Melina Lima","Campos, Martha Machado",,"Município de Aracruz :
estudo da região e
elaboração de diretrizes
para o desenvolvimento
sustável associado ao
turismo",Planejamento Urbano e regional,Análise/ Diretrizes/ sustentabilidade/ urbano,Aracruz
"Construindo uma paixão :
ensaio projetual de um
estádio de futebol.",2004,"Birchler, Adriana Carlota.","Frizzera, Kleber.",,Projeto de estádio de futebol em atrás do aero clube ,Projeto de arquitetura,Projeto/ estádio/ futebol/ esporte,Riviera da Barra
"Conjunto penal: ensaio de
projeto de presídio como
forma de ressocializar e
educar infratores",2016,"Bispo, Fabiano Rodrigo
Sarnáglia Caliari","Alvarenga, Augusto.","Romanelli,
Marco Antonio C.","Conjunto penal: ensaio de
projeto de presídio como
forma de ressocializar e
educar infratores",Projeto de arquitetura,Ensaio projetual/ Presídio/ Humanista ,n/d
Procura-se uma ilha.,2002,"Bissoli, Daniela Coutinho","Miranda, Clara","Almenara,
Rogério","Anda pela cidade em busca de aspectos arquitetônicos e urbanísticos que mostra a aproximação com o mar, típico de uma ilha ",História e Teoria da Arquitetura e Urbanismo,Análise/ urbanismo/ Orla,Vitória
"Venda nova do Imigrante : a
cultura também na
arquitetura.",2003,"Bissoli, Márcia","Mendonça,
Eneida Maria S",,Centro de Cultura italiana em venda Nova do imigrante (com extensa pesquisa sobre a cidade) ,Projeto de arquitetura,Projeto/ cultura italiana/ centro de (núcleo de)/ cultura,Venda Nova do Imigrante
"Urbanização na Avenida
Carlos lindenberg",2002,"Bitencourt, Christianne
Provietti","Mendonça,
Eneida Maria","Machado, Mônica
Bitencourt",Proposta de intervenção urbanística na Carlos lindemberg ,Projeto de urbanismo,Projeto/ Urbanismo/ mobilidade,Cobilândia (Rod. Carlos Lindemberg)
"Plano de Desenvolvimento
Urbano de Jaguaré.",2004,"Bizi, Evandra","Vargas,
Paulo Sérgio de Paula",,Proposta de pdu para jaguar e ,Planejamento Urbano e regional,Planejamento/ desenvolvimento/ PDU,Jaguaré
"Escola parque: uma
proposta lúdica",2007,"Boechat, Alda Oliveira","Penteado, Homero",,Projeto de escola infantil parque em itaparica ,Projeto de arquitetura,Projeto/ escola/ parque,Coqueiral de Itaparica
"Em busca do Lar : proposta
de uma casa lar para
meninas.",2004,"Boechat, Janaína Leal.","Abe, André Tomoyuki,
Universidade Federal do",,Projeto de uma casa lar para meninas de 12 a 19 anos em divino Espírito Santo ,Projeto de arquitetura,Projeto/ Casa lar/ Meninas ,Divino Espírito Santo
"Arquitetura e
sustentabilidade : ensaio
projetual com ênfase na
paisagem.",2005,"Bof, Ana Paula Moraes.","Alvarez, Cristina Engel de",,Projeto sustentável de construção sustentável na enseada do Suá. Conjunto de edifícios uso misto ,Projeto de arquitetura,Projeto/ edifício/ sustentabilidade,Enseada do Suá
"Regulamento técnico da
qualidade para edificações
residenciais : estudo e
aplicação",2012,"Bolsanello, Gilmara Cristina","Romanelli, Marco Antônio",,Análise de coisa de conforto rtq r em um prédio de 3 pavimentos em barro vermelho ,Conforto ambiental,Análise/ RTQ-R,Barro Vermelho
"Lá no Morro : relações entre
interstícios, interfaces
urbanas e o espaço interior
no morro Jesus de
Nazareth.",2017,"Bolssoni, Gabriela da
Conceição","Rodrigues,
Edna Aparecida Nico",,Ensaios projetuais em Jesus de Nazareth. Entre os ensaios tem propostas urbanas pequenas e de novas casas melhorar do o conforto térmico e luminico ,Projeto de urbanismo,Ensaio projetual/ Intervenção urbano/ conforto ambiental,jesus de nazareth
"A cultura imaterial e a
construção do espaço do
homem : a força da
imaterialidade",2012,"Bona, Kamila Drago","Almeida, Renata
Hermanny",,Cultura imaterial no morro de alta liberdade em marilandia ,História e Teoria da Arquitetura e Urbanismo,Patrimônio imateriais/ imateriaisidade,Marilândia
"De anexo a complexo:
Proposta de revitalização
para a Orla de Santo
Antonio e Parque Tancredo
Neves",2001,"Boni, Melissa Passamani","Mendonça, Eneida","Laranja,
Latussa ",Projeto para orla de Tancredo. Meio pa6 ,Projeto de arquitetura,Requalificação/ baía/ orla/ Parque,Mário Cypreste
"Projetando para o futuro
ensaio de Projeto
Residencial segundo as
características do morador
idoso.",2015,"Borges, Carla Dias","Laranja, Andrea Coelho","Costa, Aline
Nogueira",Projeto de casa pensando no idoso em morada de laranjeiras ,Projeto de arquitetura,Projeto/ idoso/ residência,Morada de Laranjeiras
"Afo faz a diferença na
arquitetura.",2015,"Borges, Débora do
Nascimento Rodrigues.","Abe, André Tomoyuki.",,Avaliação pos ocupação de interesse social no residencial Barreiros ,História e Teoria da Arquitetura e Urbanismo,Avaliação/ interesse social,Santa Martha
"Paisagem, vivência,
espaço, memória. Imagem
e identidade: ensaio em
setor urbano do centro de
Vitória.",2006,"Borges, João Marcos
Charpinel.","Almeida,
Renata Hermanny",,Projeto urbano no centro de Vitória ,Projeto de urbanismo,Projeto/ paisagem/ urbano/ urbanismo,Centro de Vitória
Parque Cultural de Vitória,2010,"Borgo, Lídia","Rocha, Bruno
Massara","Almenara, Rogério",Projeto de complexo cultural entre reta da penha e leitão da Silva ,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura,santa lúcia
"Estação das Garças:
projeto intermodal para o
transporte coletivo na
grande Vitória",2003,"Bortolini, Fernanda Vulpi","Abe, André Tomoyuk",,Projeto arquitetônico para construção de estação intermodal em vila velha ,Projeto de arquitetura,Projeto/ transporte/ mobilidade/ intermodal,Vila Velha
Museu da ciência de Vitória,2002,"Bortuluci, Alexandre","Alvarez, Cristina Engel","Barbosa,
Eduardo Simões",Museu de ciência e tecnologia. Ilha da fumaça ,Projeto de arquitetura,Projeto/ museu/ tecnologia,Monte belo (Ilha da fumaça)
