Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
"Centro comunitário do
Bairro Andorinhas: um
exercício de cidadania",2008,"Moreira, Alexandre","Guedes, Nadja Lisboa da
Silveira",,"Proposta de projeto de centro comunitário no Bairro Andorinhas, Vitória
",Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura,Andorinhas
"Projeto de habitação de
interesse social no
município de Vitória",2009,"Moreira, Amina Rocha",,,"Projeto de habitação de
interesse social com foco em elemntos de sustentabilidade, município de Vitória",Projeto de arquitetura,Projeto/ interesse social/ residência/ sustentabilidade,Vitória
"Arquitetura corporativa em
função da qualidade de
vida, da flexibilidade de uso
e do dinamismo dos
espaços : um projeto de
implantação de Startup de
tecnologia em Vitória - ES",2017,"Moreira, Julia da Silva.","Almeida, Lutero Proscholdt",,"Arquitetura corporativa em
função da qualidade de
vida, da flexibilidade de uso
e do dinamismo dos
espaços : um projeto de
implantação de Startup de
tecnologia em Vitória - ES. Jardim da penha",Projeto de arquitetura,Projeto/ startup /tecnologia/ empresa/ flexibilidade,Jardim da Penha
"Apreender para viver :
Disseminando conceitos a
partir do ensino de base",2010,"Moreira, Luila Damásio","Almenara, Rogério",,Analise e proposta de cmei em jardim da penha com base em arquitetura sustentável,Projeto de arquitetura,Projeto/ creche/ sustentabilidade/ escola,Jardim da Penha
"Invertendo valores: estudo
de intervenção urbana para
as pessoas no Bairro de
Jardim da Penha",2014,"Moreira, Priscylla Valli","Ribeiro, Rogério Almenara","Frizzera,
Kléber Perini (",Projeto urbano de rua ligada epa a camburi,projeto de urbanismo,Projeto/ rua/ intervenção/ urbano,Jardim da Penha
"""Sítios históricos e o
turismo sustentável: o caso
de Santa Leopoldina/ES",2008,"Morelato, Andressa da
Silveira","Almeida,Renata
Hermanny",,`Plano de ação e resgate patrimonial do sitio histórico urbano em santa leopoldina,projeto de urbanismo,Projeto/ patrimônio/ turismo/ ,Santa Leopoldina
Os condomínios e loteamentos fechados ou as cidades: Temos que escolher,2012,"Morelato, Mayara Barcellos","Abe, Andre","Miranda, Clara",Crítica aos condominios fechados da serra,História e Teoria da Arquitetura e Urbanismo,Análise/ condomínio/ fechado,Serra
"Arquitetura rural e restauro :
projeto casarão da família
Scabelo.",2017,"Morosini, Bruna Cassandri.","Almeida, Renata
Hermanny de",,Projeto de restauro para casarão da familia Sacabelo - Venda Nova do Imigrante,Técnicas Retrospectivas,Projeto/ restauro/ residência,Venda Nova do Imigrante
"Circuitos culturais : uma
alternativa para o
desenvolvimento
sustentável do munícipio de
Marilândia - ES",2011,"Morosini, Kênia","Fernandes, Fernanda",,Proposta de projeto urbano para o município de Marilândia,projeto de urbanismo,Projeto/ urbanismo/ desenvolvimento,Marilândia
Uma luz na estação,2005,"Morosky, Natasha Carolina","Alvarez, Cristina Engel",,Projeto luminotécnico para a antiga estação da ferrovia Vitória-Minas,Conforto ambiental,Projeto Luminotécnico/ Estação ferroviária/ ferrovia,Argolas
"Uma nova aliança: projeto
para a Igreja Batista em Rio
Marinho",2012,"Moschem, Clarice Duarte","Caser, Karla do Carmo",,Projeto para uma igreja Batista em RIo Marinho,projeto de arquitetura,Projeto/ igreja/ batista,Bairro Rio Marinho
